"Date","Site","PP","Orientation","Altitude"
2018-05-07,"ND1",74,"N","D"
2018-05-24,"ND1",58,"N","D"
2018-06-11,"ND1",19,"N","D"
2018-06-29,"ND1",44,"N","D"
2018-07-16,"ND1",15,"N","D"
2018-08-01,"ND1",140,"N","D"
2018-08-17,"ND1",30,"N","D"
2018-09-01,"ND1",0,"N","D"
2018-09-14,"ND1",20,"N","D"
2018-09-27,"ND1",24,"N","D"
2018-10-13,"ND1",NA,"N","D"
2018-11-15,"ND1",NA,"N","D"
2018-12-03,"ND1",54,"N","D"
2018-12-15,"ND1",18,"N","D"
2018-12-30,"ND1",72,"N","D"
2019-01-15,"ND1",25,"N","D"
2019-02-02,"ND1",15,"N","D"
2019-02-16,"ND1",20,"N","D"
2019-02-28,"ND1",5,"N","D"
2019-03-20,"ND1",130,"N","D"
2019-04-06,"ND1",26,"N","D"
2019-04-28,"ND1",0,"N","D"
2018-05-07,"ND2",74,"N","D"
2018-05-24,"ND2",60,"N","D"
2018-06-11,"ND2",20,"N","D"
2018-06-29,"ND2",48,"N","D"
2018-07-16,"ND2",17,"N","D"
2018-08-01,"ND2",140,"N","D"
2018-08-17,"ND2",28,"N","D"
2018-09-01,"ND2",0,"N","D"
2018-09-14,"ND2",22,"N","D"
2018-09-27,"ND2",26,"N","D"
2018-10-13,"ND2",NA,"N","D"
2018-11-15,"ND2",NA,"N","D"
2018-12-03,"ND2",37,"N","D"
2018-12-15,"ND2",17,"N","D"
2018-12-30,"ND2",70,"N","D"
2019-01-15,"ND2",28,"N","D"
2019-02-02,"ND2",16,"N","D"
2019-02-16,"ND2",22,"N","D"
2019-02-28,"ND2",6,"N","D"
2019-03-20,"ND2",128,"N","D"
2019-04-06,"ND2",27,"N","D"
2019-04-28,"ND2",0,"N","D"
2018-05-07,"SD1",65,"S","D"
2018-05-24,"SD1",64,"S","D"
2018-06-11,"SD1",20,"S","D"
2018-06-29,"SD1",48,"S","D"
2018-07-16,"SD1",20,"S","D"
2018-08-01,"SD1",110,"S","D"
2018-08-17,"SD1",54,"S","D"
2018-09-01,"SD1",0,"S","D"
2018-09-14,"SD1",24,"S","D"
2018-09-27,"SD1",28,"S","D"
2018-10-13,"SD1",NA,"S","D"
2018-11-15,"SD1",NA,"S","D"
2018-12-03,"SD1",46,"S","D"
2018-12-15,"SD1",18,"S","D"
2018-12-30,"SD1",72,"S","D"
2019-01-15,"SD1",20,"S","D"
2019-02-02,"SD1",11,"S","D"
2019-02-16,"SD1",24,"S","D"
2019-02-28,"SD1",5,"S","D"
2019-03-20,"SD1",131,"S","D"
2019-04-06,"SD1",24,"S","D"
2019-04-28,"SD1",0,"S","D"
2018-05-07,"SD2",67,"S","D"
2018-05-24,"SD2",63,"S","D"
2018-06-11,"SD2",21,"S","D"
2018-06-29,"SD2",58,"S","D"
2018-07-16,"SD2",20,"S","D"
2018-08-01,"SD2",120,"S","D"
2018-08-17,"SD2",48,"S","D"
2018-09-01,"SD2",0,"S","D"
2018-09-14,"SD2",25,"S","D"
2018-09-27,"SD2",27,"S","D"
2018-10-13,"SD2",NA,"S","D"
2018-11-15,"SD2",NA,"S","D"
2018-12-03,"SD2",52,"S","D"
2018-12-15,"SD2",16,"S","D"
2018-12-30,"SD2",70,"S","D"
2019-01-15,"SD2",22,"S","D"
2019-02-02,"SD2",13,"S","D"
2019-02-16,"SD2",25,"S","D"
2019-02-28,"SD2",5,"S","D"
2019-03-20,"SD2",129,"S","D"
2019-04-06,"SD2",25,"S","D"
2019-04-28,"SD2",0,"S","D"
2018-05-07,"SM1",62,"S","M"
2018-05-24,"SM1",60,"S","M"
2018-06-11,"SM1",21,"S","M"
2018-06-29,"SM1",45,"S","M"
2018-07-16,"SM1",18,"S","M"
2018-08-01,"SM1",140,"S","M"
2018-08-17,"SM1",46,"S","M"
2018-09-01,"SM1",0,"S","M"
2018-09-14,"SM1",26,"S","M"
2018-09-27,"SM1",36,"S","M"
2018-10-13,"SM1",NA,"S","M"
2018-11-15,"SM1",NA,"S","M"
2018-12-03,"SM1",32,"S","M"
2018-12-15,"SM1",16,"S","M"
2018-12-30,"SM1",66,"S","M"
2019-01-15,"SM1",20,"S","M"
2019-02-02,"SM1",22,"S","M"
2019-02-16,"SM1",30,"S","M"
2019-02-28,"SM1",4,"S","M"
2019-03-20,"SM1",132,"S","M"
2019-04-06,"SM1",24,"S","M"
2019-04-28,"SM1",0,"S","M"
2018-05-07,"SM2",65,"S","M"
2018-05-24,"SM2",61,"S","M"
2018-06-11,"SM2",21,"S","M"
2018-06-29,"SM2",50,"S","M"
2018-07-16,"SM2",20,"S","M"
2018-08-01,"SM2",140,"S","M"
2018-08-17,"SM2",44,"S","M"
2018-09-01,"SM2",0,"S","M"
2018-09-14,"SM2",28,"S","M"
2018-09-27,"SM2",30,"S","M"
2018-10-13,"SM2",NA,"S","M"
2018-11-15,"SM2",NA,"S","M"
2018-12-03,"SM2",42,"S","M"
2018-12-15,"SM2",18,"S","M"
2018-12-30,"SM2",68,"S","M"
2019-01-15,"SM2",20,"S","M"
2019-02-02,"SM2",18,"S","M"
2019-02-16,"SM2",30,"S","M"
2019-02-28,"SM2",5,"S","M"
2019-03-20,"SM2",130,"S","M"
2019-04-06,"SM2",26,"S","M"
2019-04-28,"SM2",0,"S","M"
2018-05-07,"NU1",67,"N","U"
2018-05-24,"NU1",63,"N","U"
2018-06-11,"NU1",22,"N","U"
2018-06-29,"NU1",30,"N","U"
2018-07-16,"NU1",20,"N","U"
2018-08-01,"NU1",140,"N","U"
2018-08-17,"NU1",25,"N","U"
2018-09-01,"NU1",0,"N","U"
2018-09-14,"NU1",22,"N","U"
2018-09-27,"NU1",22,"N","U"
2018-10-13,"NU1",36,"N","U"
2018-11-15,"NU1",NA,"N","U"
2018-12-03,"NU1",52,"N","U"
2018-12-15,"NU1",16,"N","U"
2018-12-30,"NU1",62,"N","U"
2019-01-15,"NU1",24,"N","U"
2019-02-02,"NU1",16,"N","U"
2019-02-16,"NU1",25,"N","U"
2019-02-28,"NU1",6,"N","U"
2019-03-20,"NU1",130,"N","U"
2019-04-06,"NU1",24,"N","U"
2019-04-28,"NU1",0,"N","U"
2018-05-07,"SU1",65,"S","U"
2018-05-24,"SU1",60,"S","U"
2018-06-11,"SU1",21,"S","U"
2018-06-29,"SU1",60,"S","U"
2018-07-16,"SU1",18,"S","U"
2018-08-01,"SU1",120,"S","U"
2018-08-17,"SU1",28,"S","U"
2018-09-01,"SU1",0,"S","U"
2018-09-14,"SU1",28,"S","U"
2018-09-27,"SU1",24,"S","U"
2018-10-13,"SU1",38,"S","U"
2018-11-15,"SU1",NA,"S","U"
2018-12-03,"SU1",46,"S","U"
2018-12-15,"SU1",14,"S","U"
2018-12-30,"SU1",40,"S","U"
2019-01-15,"SU1",25,"S","U"
2019-02-02,"SU1",17,"S","U"
2019-02-16,"SU1",22,"S","U"
2019-02-28,"SU1",5,"S","U"
2019-03-20,"SU1",128,"S","U"
2019-04-06,"SU1",22,"S","U"
2019-04-28,"SU1",0,"S","U"
2018-05-07,"NU2",65,"N","U"
2018-05-24,"NU2",62,"N","U"
2018-06-11,"NU2",22,"N","U"
2018-06-29,"NU2",80,"N","U"
2018-07-16,"NU2",19,"N","U"
2018-08-01,"NU2",130,"N","U"
2018-08-17,"NU2",20,"N","U"
2018-09-01,"NU2",0,"N","U"
2018-09-14,"NU2",28,"N","U"
2018-09-27,"NU2",21,"N","U"
2018-10-13,"NU2",41,"N","U"
2018-11-15,"NU2",NA,"N","U"
2018-12-03,"NU2",55,"N","U"
2018-12-15,"NU2",18,"N","U"
2018-12-30,"NU2",67,"N","U"
2019-01-15,"NU2",26,"N","U"
2019-02-02,"NU2",14,"N","U"
2019-02-16,"NU2",24,"N","U"
2019-02-28,"NU2",6,"N","U"
2019-03-20,"NU2",131,"N","U"
2019-04-06,"NU2",22,"N","U"
2019-04-28,"NU2",0,"N","U"
2018-05-07,"SU2",63,"S","U"
2018-05-24,"SU2",61,"S","U"
2018-06-11,"SU2",20,"S","U"
2018-06-29,"SU2",46,"S","U"
2018-07-16,"SU2",20,"S","U"
2018-08-01,"SU2",140,"S","U"
2018-08-17,"SU2",25,"S","U"
2018-09-01,"SU2",0,"S","U"
2018-09-14,"SU2",26,"S","U"
2018-09-27,"SU2",25,"S","U"
2018-10-13,"SU2",37,"S","U"
2018-11-15,"SU2",NA,"S","U"
2018-12-03,"SU2",48,"S","U"
2018-12-15,"SU2",16,"S","U"
2018-12-30,"SU2",46,"S","U"
2019-01-15,"SU2",25,"S","U"
2019-02-02,"SU2",17,"S","U"
2019-02-16,"SU2",24,"S","U"
2019-02-28,"SU2",7,"S","U"
2019-03-20,"SU2",130,"S","U"
2019-04-06,"SU2",26,"S","U"
2019-04-28,"SU2",0,"S","U"
2018-05-07,"NM2",63,"N","M"
2018-05-24,"NM2",60,"N","M"
2018-06-11,"NM2",20,"N","M"
2018-06-29,"NM2",43,"N","M"
2018-07-16,"NM2",17,"N","M"
2018-08-01,"NM2",140,"N","M"
2018-08-17,"NM2",30,"N","M"
2018-09-01,"NM2",0,"N","M"
2018-09-14,"NM2",32,"N","M"
2018-09-27,"NM2",22,"N","M"
2018-10-13,"NM2",44,"N","M"
2018-11-15,"NM2",NA,"N","M"
2018-12-03,"NM2",52,"N","M"
2018-12-15,"NM2",18,"N","M"
2018-12-30,"NM2",60,"N","M"
2019-01-15,"NM2",26,"N","M"
2019-02-02,"NM2",16,"N","M"
2019-02-16,"NM2",25,"N","M"
2019-02-28,"NM2",7,"N","M"
2019-03-20,"NM2",128,"N","M"
2019-04-06,"NM2",25,"N","M"
2019-04-28,"NM2",0,"N","M"
2018-05-07,"NM1",64,"N","M"
2018-05-24,"NM1",60,"N","M"
2018-06-11,"NM1",20,"N","M"
2018-06-29,"NM1",42,"N","M"
2018-07-16,"NM1",18,"N","M"
2018-08-01,"NM1",100,"N","M"
2018-08-17,"NM1",28,"N","M"
2018-09-01,"NM1",0,"N","M"
2018-09-14,"NM1",24,"N","M"
2018-09-27,"NM1",22,"N","M"
2018-10-13,"NM1",48,"N","M"
2018-11-15,"NM1",NA,"N","M"
2018-12-03,"NM1",55,"N","M"
2018-12-15,"NM1",16,"N","M"
2018-12-30,"NM1",69,"N","M"
2019-01-15,"NM1",26,"N","M"
2019-02-02,"NM1",17,"N","M"
2019-02-16,"NM1",23,"N","M"
2019-02-28,"NM1",6,"N","M"
2019-03-20,"NM1",130,"N","M"
2019-04-06,"NM1",24,"N","M"
2019-04-28,"NM1",0,"N","M"
