"Date","Plot","Site","A","G","NG","R","SD","veg_height","Site_Plot","Orientation","Altitude"
2019-04-28,"E","SU1",5,70,20,5,0,13.2,"SU1 E","S","U"
2019-04-28,"E","SU2",5,60,20,5,10,7.8,"SU2 E","S","U"
2019-07-09,"A","ND1",20,40,30,0,10,10.8,"ND1 A","N","D"
2019-07-09,"A","ND2",0,40,20,0,40,7.6,"ND2 A","N","D"
2019-07-09,"A","SD1",10,60,10,0,20,9.6,"SD1 A","S","D"
2019-07-09,"A","SD2",30,60,10,0,0,25.8,"SD2 A","S","D"
2019-07-09,"A","SM1",20,40,20,20,0,21.8,"SM1 A","S","M"
2019-07-09,"A","SM2",10,60,20,10,0,21.8,"SM2 A","S","M"
2019-07-09,"B","ND1",20,40,30,0,10,6.8,"ND1 B","N","D"
2019-07-09,"B","ND2",15,30,15,0,40,9.8,"ND2 B","N","D"
2019-07-09,"B","SD1",10,80,10,0,0,12.2,"SD1 B","S","D"
2019-07-09,"B","SD2",20,70,10,0,0,16,"SD2 B","S","D"
2019-07-09,"B","SM1",10,50,25,10,5,15.4,"SM1 B","S","M"
2019-07-09,"B","SM2",5,60,25,5,5,17,"SM2 B","S","M"
2019-07-09,"C","ND1",10,70,20,0,0,15,"ND1 C","N","D"
2019-07-09,"C","ND2",15,40,15,0,30,8.6,"ND2 C","N","D"
2019-07-09,"C","SD1",20,80,0,0,0,15.6,"SD1 C","S","D"
2019-07-09,"C","SD2",20,70,10,0,0,30,"SD2 C","S","D"
2019-07-09,"C","SM1",10,50,25,15,0,19.2,"SM1 C","S","M"
2019-07-09,"C","SM2",10,60,20,5,5,23.6,"SM2 C","S","M"
2019-07-09,"D","ND1",20,40,20,10,10,7.6,"ND1 D","N","D"
2019-07-09,"D","ND2",20,30,20,10,20,7.8,"ND2 D","N","D"
2019-07-09,"D","SD1",10,70,10,0,10,18,"SD1 D","S","D"
2019-07-09,"D","SD2",10,70,20,0,0,20.6,"SD2 D","S","D"
2019-07-09,"D","SM1",25,50,25,0,0,27.2,"SM1 D","S","M"
2019-07-09,"D","SM2",10,60,15,10,5,18.6,"SM2 D","S","M"
2019-07-09,"E","ND1",10,60,25,0,5,8,"ND1 E","N","D"
2019-07-09,"E","ND2",20,40,30,0,10,7.2,"ND2 E","N","D"
2019-07-09,"E","SD1",5,80,15,0,0,18.6,"SD1 E","S","D"
2019-07-09,"E","SD2",10,70,20,0,0,32.6,"SD2 E","S","D"
2019-07-09,"E","SM1",10,60,30,0,0,28,"SM1 E","S","M"
2019-07-09,"E","SM2",10,50,25,10,5,22,"SM2 E","S","M"
2019-07-14,"A","NM1",10,40,25,5,20,4,"NM1 A","N","M"
2019-07-14,"A","NM2",10,25,25,10,30,12.4,"NM2 A","N","M"
2019-07-14,"A","NU1",10,80,10,0,0,7.2,"NU1 A","N","U"
2019-07-14,"A","NU2",5,50,35,0,10,10.2,"NU2 A","N","U"
2019-07-14,"A","SU1",10,70,20,0,0,4,"SU1 A","S","U"
2019-07-14,"A","SU2",5,80,5,0,10,7.4,"SU2 A","S","U"
2019-07-14,"B","NM1",5,30,20,5,40,3.2,"NM1 B","N","M"
2019-07-14,"B","NM2",5,40,30,15,10,6.2,"NM2 B","N","M"
2019-07-14,"B","NU1",10,70,20,0,0,5.2,"NU1 B","N","U"
2019-07-14,"B","NU2",5,45,40,5,5,9.8,"NU2 B","N","U"
2019-07-14,"B","SU1",10,70,15,5,0,3.6,"SU1 B","S","U"
2019-07-14,"B","SU2",5,75,20,0,0,4.2,"SU2 B","S","U"
2019-07-14,"C","NM1",10,25,20,5,40,3.2,"NM1 C","N","M"
2019-07-14,"C","NM2",20,30,25,5,20,7.2,"NM2 C","N","M"
2019-07-14,"C","NU1",10,70,20,0,0,7,"NU1 C","N","U"
2019-07-14,"C","NU2",15,50,30,0,5,12.4,"NU2 C","N","U"
2019-07-14,"C","SU1",10,80,10,0,0,5.6,"SU1 C","S","U"
2019-07-14,"C","SU2",10,60,20,0,10,4.8,"SU2 C","S","U"
2019-07-14,"D","NM1",5,50,30,5,10,9.2,"NM1 D","N","M"
2019-07-14,"D","NM2",15,40,30,5,10,12.4,"NM2 D","N","M"
2019-07-14,"D","NU1",10,80,10,0,0,7.2,"NU1 D","N","U"
2019-07-14,"D","NU2",5,45,35,5,10,6.8,"NU2 D","N","U"
2019-07-14,"D","SU1",10,70,20,0,0,4.6,"SU1 D","S","U"
2019-07-14,"D","SU2",5,50,40,0,5,7,"SU2 D","S","U"
2019-07-14,"E","NM1",5,25,20,20,30,3.4,"NM1 E","N","M"
2019-07-14,"E","NM2",25,30,20,5,20,4.4,"NM2 E","N","M"
2019-07-14,"E","NU1",5,70,20,5,0,9.4,"NU1 E","N","U"
2019-07-14,"E","NU2",10,40,35,5,20,9,"NU2 E","N","U"
2019-07-14,"E","SU1",5,80,15,0,0,3.2,"SU1 E","S","U"
2019-07-14,"E","SU2",5,45,45,5,0,2.8,"SU2 E","S","U"
2019-08-29,"A","NM1",5,50,30,5,10,4.8,"NM1 A","N","M"
2019-08-29,"A","NM2",0,20,25,5,50,3,"NM2 A","N","M"
2019-08-29,"A","NU1",0,70,30,0,0,5,"NU1 A","N","U"
2019-08-29,"A","NU2",0,0,30,0,30,2.6,"NU2 A","N","U"
2019-08-29,"A","SU1",0,60,35,5,0,3.6,"SU1 A","S","U"
2019-08-29,"A","SU2",5,60,30,0,5,6.4,"SU2 A","S","U"
2019-08-29,"B","NM1",0,40,20,0,40,3.4,"NM1 B","N","M"
2019-08-29,"B","NM2",10,40,30,10,10,9.2,"NM2 B","N","M"
2019-08-29,"B","NU1",5,60,30,0,5,5,"NU1 B","N","U"
2019-08-29,"B","NU2",0,60,30,5,5,7.8,"NU2 B","N","U"
2019-08-29,"B","SU1",5,60,35,0,0,7,"SU1 B","S","U"
2019-08-29,"B","SU2",10,60,30,0,0,3.8,"SU2 B","S","U"
2019-08-29,"C","NM1",5,30,15,0,50,3.4,"NM1 C","N","M"
2019-08-29,"C","NM2",25,25,25,10,15,3.8,"NM2 C","N","M"
2019-08-29,"C","NU1",5,75,20,0,0,6.2,"NU1 C","N","U"
2019-08-29,"C","NU2",10,50,35,0,5,7.6,"NU2 C","N","U"
2019-08-29,"C","SU1",10,60,25,5,0,6,"SU1 C","S","U"
2019-08-29,"C","SU2",5,60,25,0,10,3.6,"SU2 C","S","U"
2019-08-29,"D","NM1",10,35,30,5,20,10,"NM1 D","N","M"
2019-08-29,"D","NM2",10,50,30,5,5,6.2,"NM2 D","N","M"
2019-08-29,"D","NU1",5,60,35,0,0,4,"NU1 D","N","U"
2019-08-29,"D","NU2",0,40,20,0,40,3.2,"NU2 D","N","U"
2019-08-29,"D","SU1",10,60,30,0,0,4.2,"SU1 D","S","U"
2019-08-29,"D","SU2",0,75,15,0,5,5.6,"SU2 D","S","U"
2019-08-29,"E","NM1",0,40,20,10,30,4.6,"NM1 E","N","M"
2019-08-29,"E","NM2",30,30,25,5,10,4.4,"NM2 E","N","M"
2019-08-29,"E","NU1",5,60,30,0,5,4.2,"NU1 E","N","U"
2019-08-29,"E","NU2",5,50,30,5,10,4.2,"NU2 E","N","U"
2019-08-29,"E","SU1",10,60,30,0,0,6,"SU1 E","S","U"
2019-08-29,"E","SU2",0,70,25,0,5,3.6,"SU2 E","S","U"
2019-09-03,"A","ND1",10,50,35,0,5,9.8,"ND1 A","N","D"
2019-09-03,"A","ND2",5,30,25,0,40,4,"ND2 A","N","D"
2019-09-03,"A","SD1",30,50,20,0,0,14.4,"SD1 A","S","D"
2019-09-03,"A","SD2",0,70,30,0,0,28.2,"SD2 A","S","D"
2019-09-03,"A","SM1",10,25,25,40,0,12.8,"SM1 A","S","M"
2019-09-03,"A","SM2",15,50,30,5,0,14.8,"SM2 A","S","M"
2019-09-03,"B","ND1",15,50,30,0,5,5.2,"ND1 B","N","D"
2019-09-03,"B","ND2",10,40,20,0,30,3.4,"ND2 B","N","D"
2019-09-03,"B","SD1",10,70,20,0,0,12,"SD1 B","S","D"
2019-09-03,"B","SD2",5,65,30,0,0,11,"SD2 B","S","D"
2019-09-03,"B","SM1",10,50,30,10,0,15.4,"SM1 B","S","M"
2019-09-03,"B","SM2",10,60,30,0,0,14,"SM2 B","S","M"
2019-09-03,"C","ND1",10,60,30,0,0,6,"ND1 C","N","D"
2019-09-03,"C","ND2",10,3,20,0,40,3.4,"ND2 C","N","D"
2019-09-03,"C","SD1",10,50,35,0,5,19.6,"SD1 C","S","D"
2019-09-03,"C","SD2",0,80,20,0,0,19.8,"SD2 C","S","D"
2019-09-03,"C","SM1",10,50,20,20,0,15.2,"SM1 C","S","M"
2019-09-03,"C","SM2",10,55,30,0,5,15.2,"SM2 C","S","M"
2019-09-03,"D","ND1",15,50,30,0,5,7,"ND1 D","N","D"
2019-09-03,"D","ND2",10,40,20,0,30,4.4,"ND2 D","N","D"
2019-09-03,"D","SD1",10,60,30,0,0,18.8,"SD1 D","S","D"
2019-09-03,"D","SD2",10,60,30,0,0,15,"SD2 D","S","D"
2019-09-03,"D","SM1",20,50,30,0,0,14.8,"SM1 D","S","M"
2019-09-03,"D","SM2",5,60,30,5,0,10.4,"SM2 D","S","M"
2019-09-03,"E","ND1",10,50,40,0,0,5.8,"ND1 E","N","D"
2019-09-03,"E","ND2",5,50,35,0,10,4.8,"ND2 E","N","D"
2019-09-03,"E","SD1",15,50,35,0,0,21.4,"SD1 E","S","D"
2019-09-03,"E","SD2",0,70,25,5,0,40,"SD2 E","S","D"
2019-09-03,"E","SM1",10,55,20,5,0,17,"SM1 E","S","M"
2019-09-03,"E","SM2",10,50,30,10,0,17.2,"SM2 E","S","M"
2019-10-23,"A","ND1",5,50,35,0,10,4,"ND1 A","N","D"
2019-10-23,"A","ND2",5,35,30,0,30,2.8,"ND2 A","N","D"
2019-10-23,"A","SD1",40,50,0,0,0,12.4,"SD1 A","S","D"
2019-10-23,"A","SD2",40,50,0,0,0,33.8,"SD2 A","S","D"
2019-10-23,"A","SM1",15,40,25,20,0,15,"SM1 A","S","M"
2019-10-23,"A","SM2",10,60,30,0,0,24.2,"SM2 A","S","M"
2019-10-23,"B","ND1",10,40,30,5,15,5.8,"ND1 B","N","D"
2019-10-23,"B","ND2",10,40,30,0,20,7.4,"ND2 B","N","D"
2019-10-23,"B","SD1",10,60,30,0,0,28,"SD1 B","S","D"
2019-10-23,"B","SD2",20,50,30,0,0,14.8,"SD2 B","S","D"
2019-10-23,"B","SM1",10,50,35,5,0,13.6,"SM1 B","S","M"
2019-10-23,"B","SM2",10,50,40,0,0,23.2,"SM2 B","S","M"
2019-10-23,"C","ND1",0,60,35,0,5,8.6,"ND1 C","N","D"
2019-10-23,"C","ND2",10,30,30,0,30,6.8,"ND2 C","N","D"
2019-10-23,"C","SD1",5,65,30,0,0,19.4,"SD1 C","S","D"
2019-10-23,"C","SD2",10,60,20,0,0,22.8,"SD2 C","S","D"
2019-10-23,"C","SM1",10,50,25,15,0,20.6,"SM1 C","S","M"
2019-10-23,"C","SM2",15,50,30,5,0,22.8,"SM2 C","S","M"
2019-10-23,"D","ND1",10,40,30,5,15,4.6,"ND1 D","N","D"
2019-10-23,"D","ND2",5,35,30,0,30,6.6,"ND2 D","N","D"
2019-10-23,"D","SD1",20,50,30,0,0,15.2,"SD1 D","S","D"
2019-10-23,"D","SD2",5,65,30,0,0,14.6,"SD2 D","S","D"
2019-10-23,"D","SM1",20,45,35,0,0,26.8,"SM1 D","S","M"
2019-10-23,"D","SM2",15,40,25,20,0,13.6,"SM2 D","S","M"
2019-10-23,"E","ND1",5,60,30,0,5,5.6,"ND1 E","N","D"
2019-10-23,"E","ND2",10,40,30,0,20,8.6,"ND2 E","N","D"
2019-10-23,"E","SD1",40,50,0,0,0,26,"SD1 E","S","D"
2019-10-23,"E","SD2",20,50,30,0,0,39.4,"SD2 E","S","D"
2019-10-23,"E","SM1",10,60,30,0,0,16.6,"SM1 E","S","M"
2019-10-23,"E","SM2",10,50,35,5,0,17.6,"SM2 E","S","M"
2019-10-29,"A","NM1",10,40,30,5,15,11,"NM1 A","N","M"
2019-10-29,"A","NM2",15,25,25,5,30,11,"NM2 A","N","M"
2019-10-29,"A","NU1",10,70,20,0,0,7.6,"NU1 A","N","U"
2019-10-29,"A","NU2",10,50,20,0,20,4,"NU2 A","N","U"
2019-10-29,"A","SU1",0,70,30,0,0,4.2,"SU1 A","S","U"
2019-10-29,"A","SU2",10,50,25,0,15,6.6,"SU2 A","S","U"
2019-10-29,"B","NM1",10,40,25,5,30,7.2,"NM1 B","N","M"
2019-10-29,"B","NM2",15,40,30,5,10,9.4,"NM2 B","N","M"
2019-10-29,"B","NU1",10,60,25,0,5,6.6,"NU1 B","N","U"
2019-10-29,"B","NU2",10,60,25,5,0,8.4,"NU2 B","N","U"
2019-10-29,"B","SU1",15,60,20,5,0,7,"SU1 B","S","U"
2019-10-29,"B","SU2",5,60,30,0,5,4.8,"SU2 B","S","U"
2019-10-29,"C","NM1",0,30,20,0,50,6.2,"NM1 C","N","M"
2019-10-29,"C","NM2",20,30,30,5,15,8.6,"NM2 C","N","M"
2019-10-29,"C","NU1",10,60,30,0,0,7.4,"NU1 C","N","U"
2019-10-29,"C","NU2",10,60,30,0,0,9,"NU2 C","N","U"
2019-10-29,"C","SU1",10,60,30,0,0,4.8,"SU1 C","S","U"
2019-10-29,"C","SU2",10,50,30,0,10,5.4,"SU2 C","S","U"
2019-10-29,"D","NM1",10,40,25,5,20,15.4,"NM1 D","N","M"
2019-10-29,"D","NM2",10,50,30,0,10,8.2,"NM2 D","N","M"
2019-10-29,"D","NU1",10,70,20,0,0,5.6,"NU1 D","N","U"
2019-10-29,"D","NU2",10,40,30,10,10,6,"NU2 D","N","U"
2019-10-29,"D","SU1",10,60,30,0,0,5.4,"SU1 D","S","U"
2019-10-29,"D","SU2",0,60,30,0,10,8,"SU2 D","S","U"
2019-10-29,"E","NM1",5,50,20,5,20,7.4,"NM1 E","N","M"
2019-10-29,"E","NM2",35,25,25,5,10,6.2,"NM2 E","N","M"
2019-10-29,"E","NU1",5,60,30,0,5,5.2,"NU1 E","N","U"
2019-10-29,"E","NU2",10,40,20,0,30,5.2,"NU2 E","N","U"
2019-10-29,"E","SU1",10,60,30,0,0,6.8,"SU1 E","S","U"
2019-10-29,"E","SU2",10,60,30,0,0,6.8,"SU2 E","S","U"
2019-12-27,"A","ND1",10,50,30,0,10,9.8,"ND1 A","N","D"
2019-12-27,"A","ND2",10,30,20,0,40,7.2,"ND2 A","N","D"
2019-12-27,"A","SD1",20,60,20,0,0,40.8,"SD1 A","S","D"
2019-12-27,"A","SD2",30,50,20,0,0,42.8,"SD2 A","S","D"
2019-12-27,"A","SM1",20,50,20,10,0,29.2,"SM1 A","S","M"
2019-12-27,"A","SM2",10,60,30,0,0,26.8,"SM2 A","S","M"
2019-12-27,"B","ND1",10,50,20,10,10,15.4,"ND1 B","N","D"
2019-12-27,"B","ND2",20,30,10,0,40,25.6,"ND2 B","N","D"
2019-12-27,"B","SD1",10,65,20,5,0,42.2,"SD1 B","S","D"
2019-12-27,"B","SD2",20,60,20,0,0,44.6,"SD2 B","S","D"
2019-12-27,"B","SM1",10,50,35,5,0,27,"SM1 B","S","M"
2019-12-27,"B","SM2",20,50,30,0,0,23.8,"SM2 B","S","M"
2019-12-27,"C","ND1",5,60,35,0,0,18.4,"ND1 C","N","D"
2019-12-27,"C","ND2",10,30,10,0,50,19.2,"ND2 C","N","D"
2019-12-27,"C","SD1",10,60,30,0,0,34.8,"SD1 C","S","D"
2019-12-27,"C","SD2",10,60,30,0,0,33.4,"SD2 C","S","D"
2019-12-27,"C","SM1",5,60,30,5,0,29.6,"SM1 C","S","M"
2019-12-27,"C","SM2",20,50,30,0,0,22.2,"SM2 C","S","M"
2019-12-27,"D","ND1",15,50,15,0,20,13.8,"ND1 D","N","D"
2019-12-27,"D","ND2",10,40,20,0,30,6.6,"ND2 D","N","D"
2019-12-27,"D","SD1",20,60,20,0,0,29,"SD1 D","S","D"
2019-12-27,"D","SD2",15,65,20,0,0,26.2,"SD2 D","S","D"
2019-12-27,"D","SM1",20,50,30,0,0,22.6,"SM1 D","S","M"
2019-12-27,"D","SM2",10,50,30,10,0,22.6,"SM2 D","S","M"
2019-12-27,"E","ND1",10,60,30,0,0,13.2,"ND1 E","N","D"
2019-12-27,"E","ND2",10,50,20,0,20,14.8,"ND2 E","N","D"
2019-12-27,"E","SD1",30,50,20,0,0,47,"SD1 E","S","D"
2019-12-27,"E","SD2",40,50,10,0,0,45,"SD2 E","S","D"
2019-12-27,"E","SM1",10,65,35,0,0,31.8,"SM1 E","S","M"
2019-12-27,"E","SM2",15,50,30,5,0,18.2,"SM2 E","S","M"
2019-12-29,"A","NM1",5,50,15,0,30,19.6,"NM1 A","N","M"
2019-12-29,"A","NM2",30,30,15,5,20,18.2,"NM2 A","N","M"
2019-12-29,"A","NU1",0,60,30,0,10,7,"NU1 A","N","U"
2019-12-29,"A","NU2",10,40,30,0,20,4.2,"NU2 A","N","U"
2019-12-29,"A","SU1",5,60,30,0,5,8.6,"SU1 A","S","U"
2019-12-29,"A","SU2",0,60,30,0,10,9.6,"SU2 A","S","U"
2019-12-29,"B","NM1",0,40,20,0,40,7.8,"NM1 B","N","M"
2019-12-29,"B","NM2",30,30,30,5,5,17.2,"NM2 B","N","M"
2019-12-29,"B","NU1",0,60,30,0,10,6,"NU1 B","N","U"
2019-12-29,"B","NU2",10,50,30,0,10,9.6,"NU2 B","N","U"
2019-12-29,"B","SU1",15,60,20,0,5,9,"SU1 B","S","U"
2019-12-29,"B","SU2",5,50,30,5,10,5.2,"SU2 B","S","U"
2019-12-29,"C","NM1",10,30,10,0,50,11.8,"NM1 C","N","M"
2019-12-29,"C","NM2",40,30,10,5,15,10,"NM2 C","N","M"
2019-12-29,"C","NU1",0,65,30,0,5,3.8,"NU1 C","N","U"
2019-12-29,"C","NU2",10,50,30,0,10,5.6,"NU2 C","N","U"
2019-12-29,"C","SU1",20,50,20,0,10,14.4,"SU1 C","S","U"
2019-12-29,"C","SU2",5,50,30,0,15,7,"SU2 C","S","U"
2019-12-29,"D","NM1",5,50,20,5,20,19,"NM1 D","N","M"
2019-12-29,"D","NM2",20,40,25,5,10,12,"NM2 D","N","M"
2019-12-29,"D","NU1",0,65,30,0,5,3.8,"NU1 D","N","U"
2019-12-29,"D","NU2",5,35,20,10,30,9.6,"NU2 D","N","U"
2019-12-29,"D","SU1",15,60,20,0,5,8.4,"SU1 D","S","U"
2019-12-29,"D","SU2",5,60,30,0,5,6.8,"SU2 D","S","U"
2019-12-29,"E","NM1",10,45,20,5,20,7.2,"NM1 E","N","M"
2019-12-29,"E","NM2",50,30,10,0,10,8.4,"NM2 E","N","M"
2019-12-29,"E","NU1",0,60,30,0,10,9.6,"NU1 E","N","U"
2019-12-29,"E","NU2",10,20,20,10,30,8.4,"NU2 E","N","U"
2019-12-29,"E","SU1",10,60,30,0,0,10.4,"SU1 E","S","U"
2019-12-29,"E","SU2",5,50,30,0,15,7.2,"SU2 E","S","U"
2020-02-27,"A","ND1",20,40,30,0,10,30.6,"ND1 A","N","D"
2020-02-27,"A","ND2",10,20,10,10,50,29.4,"ND2 A","N","D"
2020-02-27,"A","SD1",10,70,10,0,10,109.6,"SD1 A","S","D"
2020-02-27,"A","SD2",20,35,25,0,20,92,"SD2 A","S","D"
2020-02-27,"A","SM1",10,45,30,10,5,66.6,"SM1 A","S","M"
2020-02-27,"A","SM2",10,50,35,5,0,64.4,"SM2 A","S","M"
2020-02-27,"B","ND1",10,30,20,10,30,19,"ND1 B","N","D"
2020-02-27,"B","ND2",20,30,30,0,20,40.8,"ND2 B","N","D"
2020-02-27,"B","SD1",0,90,10,0,0,111.2,"SD1 B","S","D"
2020-02-27,"B","SD2",5,60,35,0,0,82,"SD2 B","S","D"
2020-02-27,"B","SM1",20,40,20,10,10,39,"SM1 B","S","M"
2020-02-27,"B","SM2",10,45,30,5,10,51.8,"SM2 B","S","M"
2020-02-27,"C","ND1",10,40,20,10,20,53,"ND1 C","N","D"
2020-02-27,"C","ND2",20,30,20,0,30,18,"ND2 C","N","D"
2020-02-27,"C","SD1",10,65,20,0,5,80.6,"SD1 C","S","D"
2020-02-27,"C","SD2",15,50,30,0,5,84.4,"SD2 C","S","D"
2020-02-27,"C","SM1",5,50,35,5,5,38.6,"SM1 C","S","M"
2020-02-27,"C","SM2",10,50,30,10,0,53.6,"SM2 C","S","M"
2020-02-27,"D","ND1",10,30,30,0,30,30.2,"ND1 D","N","D"
2020-02-27,"D","ND2",10,30,20,0,40,20.2,"ND2 D","N","D"
2020-02-27,"D","SD1",0,90,10,0,0,85.2,"SD1 D","S","D"
2020-02-27,"D","SD2",10,50,35,0,5,79.4,"SD2 D","S","D"
2020-02-27,"D","SM1",10,50,30,10,0,31.4,"SM1 D","S","M"
2020-02-27,"D","SM2",10,40,30,10,10,39.8,"SM2 D","S","M"
2020-02-27,"E","ND1",10,35,25,0,30,16.4,"ND1 E","N","D"
2020-02-27,"E","ND2",20,30,20,0,30,34.6,"ND2 E","N","D"
2020-02-27,"E","SD1",0,90,10,0,0,109.4,"SD1 E","S","D"
2020-02-27,"E","SD2",10,60,30,0,0,74.8,"SD2 E","S","D"
2020-02-27,"E","SM1",10,50,30,5,5,33,"SM1 E","S","M"
2020-02-27,"E","SM2",20,35,25,10,10,65.8,"SM2 E","S","M"
2020-02-29,"A","NM1",5,45,25,5,20,21.8,"NM1 A","N","M"
2020-02-29,"A","NM2",5,45,40,5,5,34.6,"NM2 A","N","M"
2020-02-29,"A","NU1",0,60,40,0,0,15.6,"NU1 A","N","U"
2020-02-29,"A","NU2",10,55,35,0,0,17.6,"NU2 A","N","U"
2020-02-29,"A","SU1",10,60,30,0,0,16,"SU1 A","S","U"
2020-02-29,"A","SU2",10,60,30,0,10,21.2,"SU2 A","S","U"
2020-02-29,"B","NM1",5,25,25,5,40,45.8,"NM1 B","N","M"
2020-02-29,"B","NM2",10,45,40,0,5,40.4,"NM2 B","N","M"
2020-02-29,"B","NU1",5,50,45,0,0,13,"NU1 B","N","U"
2020-02-29,"B","NU2",10,50,30,0,10,11.4,"NU2 B","N","U"
2020-02-29,"B","SU1",20,50,25,0,5,13.6,"SU1 B","S","U"
2020-02-29,"B","SU2",0,60,30,5,5,15.6,"SU2 B","S","U"
2020-02-29,"C","NM1",10,40,40,0,10,43.6,"NM1 C","N","M"
2020-02-29,"C","NM2",0,60,35,0,5,27,"NM2 C","N","M"
2020-02-29,"C","NU1",5,50,45,0,0,18,"NU1 C","N","U"
2020-02-29,"C","NU2",10,60,30,0,0,18.2,"NU2 C","N","U"
2020-02-29,"C","SU1",20,45,30,0,5,10,"SU1 C","S","U"
2020-02-29,"C","SU2",10,50,35,0,5,10.8,"SU2 C","S","U"
2020-02-29,"D","NM1",10,30,25,5,30,43.8,"NM1 D","N","M"
2020-02-29,"D","NM2",5,55,40,0,0,36.6,"NM2 D","N","M"
2020-02-29,"D","NU1",10,45,40,5,0,16.2,"NU1 D","N","U"
2020-02-29,"D","NU2",20,35,30,5,10,22.4,"NU2 D","N","U"
2020-02-29,"D","SU1",0,60,40,0,0,12.8,"SU1 D","S","U"
2020-02-29,"D","SU2",10,50,40,0,0,14.2,"SU2 D","S","U"
2020-02-29,"E","NM1",10,45,30,5,10,33.8,"NM1 E","N","M"
2020-02-29,"E","NM2",5,50,35,5,5,32.4,"NM2 E","N","M"
2020-02-29,"E","NU1",5,55,35,5,0,13.2,"NU1 E","N","U"
2020-02-29,"E","NU2",10,30,20,10,30,16.2,"NU2 E","N","U"
2020-02-29,"E","SU1",5,60,30,5,0,16.8,"SU1 E","S","U"
2020-02-29,"E","SU2",5,50,30,5,10,10.8,"SU2 E","S","U"
